name,lat,lon
Khairatabad,17.4129744,78.4610582
Necklace Road,17.4233355,78.4631857
Hyderabad Deccan Nampally,17.3924223,78.4675956
Malakpet,17.3765035,78.4948263
Kacheguda,17.389311,78.4992403
Moula Ali,17.4407394,78.5506697
Nature Cure Hospital,17.4456571,78.4521487
Begumpet,17.4386951,78.4580969
Hafeezpet,17.4823997,78.3630141
James Street,17.4329515,78.4873218
Falaknuma,17.3326604,78.4751984
Jungametta (u/c),17.3353179,78.4683887
Charminar (u/c),17.3619252,78.4799909
Shamserganj (u/c),17.3408101,78.4683869
Shah Ali Banda (u/c),17.3507744,78.4723504
Falaknuma Terminal (u/c),17.3317141,78.4699981
Salar Jung Museum (u/c),17.3717823,78.4822609
Chandanagar,17.4872976,78.3322142
HITEC City,17.4698143,78.3853779
Cavalry Barracks,17.4953503,78.519068
Malkajgiri,17.4483438,78.5289727
Borabanda,17.4590687,78.4078664
Bharath Nagar,17.4626026,78.4301562
Lingampalli,17.4831225,78.3177732
Charlapalli,17.4585975,78.6066056
Ghatkesar,17.4528558,78.6782985
Sitaphalmandi,17.4272947,78.5207231
Begumpet,17.4375661,78.4569341
Begumpet,17.4385942,78.458062
Nagalapalli,17.460242,78.2300829
Fateh Nagar,17.4562011,78.4499241
Budvel,17.3098599,78.4249837
Umdanagar,17.2634072,78.3931714
Lakdi-ka-pul,17.4038328,78.4635019
Bolarum,17.5330679,78.5154568
Alwal,17.5050368,78.514663
Gundla Pochampally,17.5687096,78.4882373
Sanat Nagar,17.4622355,78.4366978
S. R. Nagar,17.4431396,78.4407903
HITEC City,17.4490055,78.3831376
Nagole,17.3907683,78.5588222
Ameerpet (Red Line),17.4357214,78.4447933
Durgam Cheruvu,17.4429466,78.3875721
Telapur,17.4749602,78.2849764
Ramachandrapuram TS,17.5102204,78.2824464
Yusufguda,17.4351132,78.4273216
Ameerpet (Blue Line),17.4352864,78.4447834
Jubilee Hills Checkpost,17.4281969,78.4137145
Kukatpally,17.4850883,78.411638
Uppal,17.3999384,78.5601591
Stadium,17.4074002,78.5542531
NGRI,17.4148264,78.5463345
Habsiguda,17.42018,78.540548
Tarnaka,17.4282965,78.5284415
Mettuguda,17.4355207,78.5195754
Secunderabad East,17.4357184,78.5054623
Parade Grounds (Blue Line),17.4431943,78.4974687
Paradise,17.4434668,78.4862436
Rasoolpura,17.443612,78.4764053
Prakash Nagar,17.4448889,78.4658749
Madhura Nagar,17.4369652,78.4390993
Road No 5 Jubilee Hills,17.4300489,78.4232069
Peddamma Gudi,17.4306512,78.4083721
Raidurg,17.44218,78.3771819
Parade Grounds (Green Line),17.4444775,78.497584
JBS,17.4488181,78.4964843
RTC Cross Roads,17.4070321,78.4968023
Mahatma Gandhi Bus Station (Red Line),17.3798572,78.4862022
Mahatma Gandhi Bus Station (Green Line),17.3796948,78.4858635
Malakpet,17.3771888,78.4939356
Musarambagh,17.3710728,78.5119483
Sultan Bazar,17.3844473,78.4840241
Narayanaguda,17.3943658,78.4899578
Chikkadpally,17.4003634,78.4948964
Musheerabad,17.4178744,78.4995051
Gandhi Hospital,17.4255155,78.501956
Secunderabad West,17.4338034,78.4995181
Madhapur,17.4372637,78.4004257
Secunderabad Junction,17.4338591,78.502051
New Market,17.3734268,78.5031775
JNTU College,17.4986555,78.3888661
KPHB Colony,17.4938025,78.4017651
Miyapur,17.4965392,78.3730252
Victoria Memorial,17.3618537,78.5439302
Dilsukh Nagar,17.3685518,78.5257172
L. B. Nagar Metro Station,17.3498286,78.5479138
Osmania Medical College,17.3823471,78.4811327
Nampally,17.3923995,78.4701477
Moosapet,17.4719703,78.4260361
Lakdi-ka-pul,17.4039063,78.4650247
Khairatabad,17.4115319,78.4608458
Irrum Manzil,17.4205559,78.456101
Gandhi Bhavan,17.3861073,78.4730995
ESI Hospital,17.4474042,78.4383501
Erragadda,17.4573276,78.4334618
Chaitanyapuri,17.368286,78.5359409
Bharat Nagar,17.4641604,78.4300051
Balanagar,17.4768224,78.4219645
Assembly,17.3981092,78.4708176
Panjagutta,17.4286312,78.4511322
Bhudevi Nagar,17.4929657,78.5021679
Ammuguda,17.4888436,78.5236929
Neredmet,17.4781112,78.5366716
Ferozguda,17.4648917,78.4603057
Suchitra Centre,17.4892259,78.4729062
Sanjeevaiah Park,17.4356998,78.4764022
Shah Ali Banda Metro Station,17.3539755,78.4728875
miyapur metro,17.4963825,78.3727487
Kukatpally Metro,17.4852053,78.4115793
Balanagar Metro,17.4768693,78.4219076
Moosarambagh,17.371094547449584,78.51197201068757
HITEC City,17.448966651594787,78.38323206820472
Synchrony @ Raidurg,17.4421944,78.37714940000002
